Mandarin,Pinyin,English,Missed,Radical
你好,nǐ hǎo,hello,n,n
世界,shìjiè,world,n,n
你,nǐ,you,n,n
好,hǎo,is good,n,n
我,wǒ,I,n,n
是,shì,yes/is,n,n
再见,zàijiàn,Goodbye,n,n
不,bù,no/is not,n,n
他,tā,He,n,n
她,tā,She,n,n
中国,zhōngguó,China,n,n
中,zhōng,in,n,n
国,guó,country,n,n
美国,měiguó,America,n,n
人,rén,Person/People,n,y
吗,ma,question particle for 'yes'/'no' questions,n,n
中文,zhōngwén,Chinese (written language),n,n
汉语,hànyǔ,Chinese (language),n,n
英语,yīngyǔ,English (language),n,n
汉字,hànzì,Chinese characters,n,n
河马,hémǎ,Hippopotamus/Behemoth,n,n
河,hé,River,n,n
马,mǎ,Horse,n,n
菠萝,bōluó,pineapple,n,n
菠,bō,spinach,y,n
萝,luó,radish,n,n
苹果,píngguǒ,apple,n,n
苹,píng,reference to apple,n,n
果,guǒ,fruit,n,n
西瓜,xīguā,watermelon,n,n
瓜,guā,melon,n,n
水果,shuǐguǒ,fruit,n,n
水,shuǐ,water,n,n
鸡蛋,jīdàn,egg,n,n
鸡,jī,chicken,n,n
蛋,dàn,egg,n,n
小鸡,xiǎojī,chick,n,n
小,xiǎo,small,n,n
面包,miànbāo,bread,n,n
面,miàn, surface/flour as adjective,n,n
包,bāo,package/cover/wrap,n,n
小包,xiǎobāo,packet,n,n
红包,hóngbāo,red envelope,n,n
红,hóng,red,n,n
喜欢,xǐhuān,like,n,n
果汁,guǒzhī,fruit juice,n,n
汁,zhī,juice,n,n
咖啡,kāfēi,coffee,n,n
可乐,kělè,cola,n,n
减肥可乐,jiǎnféi kělè,diet cola,n,n
减肥,jiǎnféi,lose weight,n,n
减,jiǎn,less,n,n
肥,féi,fat,n,n
一,yī,one,n,y
二,er,two,n,y
两,liǎng,two,n,n
三,Sān,three,n,n
四,Sì,four,n,n
五,wǔ,five,n,n
六,liù,six,n,n
七,qī,seven,n,n
八,bā,eight,n,y
九,jiǔ,nine,n,n
十,shí,ten,n,y
百,bǎi,hundred,n,n
快,kuài,fast/colloquial word for yuan,n,n
多少,duōshǎo,how much,n,n
钱,qián,money,n,n
个,Gè,measure word for people or objects,n,n
个人,Gèrén,personal,n,n
杯,Bēi,cup/glass/mug/y,n,n
们,men,plural marker for people,n,n
说,Shuō,speak/say,n,n
都,Dōu,both/all,n,n
学,Xué,study/learn,n,n
也,Yě,and/also,n,n
写,Xiě,write,n,n
和,Hé,and/with,n,n
喝,Hē,drink,n,n
吃,Chī,eat,n,n
茶,Chá,tea,n,n
想,Xiǎng,want,n,n
买,Mǎi,buy/to shop,n,n
牛奶,Niúnǎi,cows milk,n,n
牛,Niú,cow,n,n
奶,nǎi,milk,n,n
的,De,of/(possessive),n,n
爱,Ài,love,n,n
爸爸,Bàba,father,n,n
妈妈,Māmā,mother,n,n
爷爷,Yéyé,grandfather (paternal),n,n
奶奶,Nǎinai,grandmother (paternal),n,n
有,Yǒu,to have/there is/there are,n,n
没有,Méiyǒu,to not have/no,n,n
哥哥,Gēgē,brother,n,n
姐姐,Jiějiě,elder sister,n,n
妹妹,Mèimei,younger sister,n,n
弟弟,Dìdì,younger brother,n,n
家,Jiā,home,n,n
这,Zhè,this,n,n
这些,Zhèxiē,these,n,n
那,Nà,that,n,n
猫,Māo,cat,n,n
狗,Gǒu,dog,n,n
文学,Wénxué,literature,n,n
木,mù,wood,n,n
斤,jīn,axe,n,n
日,rì,sun/daylight,y,n
析,xī, analyse (separate/break down),n,n
分,fēn,minute (small),y,n
分析,fēnxī,analysis,n,n
明晰,míngxī,lucid/clear,y,n
星期,Xīngqí,week or prefix for day of week,n,n
今天,Jīntiān,today or nowadays,n,n
明天,Míngtiān,tomorrow,n,n
昨天,Zuótiān,yesterday,n,n
月,Yuè,month,n,n
号,Hào,day of the month,n,n
年,Nián,year,n,n
生日,Shēngrì,birthday,y,n
零,Líng,zero,n,n
丨,Gǔn,line (r),n,y
丶,Zhǔ, dot (r),n,y
丿 or 乀 or  乁,Piě,slash(r),n,y
亅,Jué,hook (r),n,y
亠,Tóu,lid(r),n,y
亻,Rén,person(r),n,y
丷,bā, eight(r),n,y
冂,Jiōng,down box (r),n,y
冖,Mì,over/above (r),n,y
冫,Bīng, ice (r),n,y
几,Jǐ,a few,n,y
凵,Qiǎn, open box (r),n,y
刀,Dāo,knife,n,y
力,Lì,power/force,n,y
勹,Bāo,wrap(r),n,y
匕,Bǐ,spoon/dagger (r),n,y
匚,Fāng, (r),n,y
匸,Xì,(r),n,y
卜,Bu, mysticism (r),n,y
卩,Jié, seal (r),n,y
厂,Chǎng,cliff (r),n,y
厶,Sī,private(r),n,y
又,Yòu,again(r),n,y
口,Kǒu,mouth,n,y
囗,Wéi,(r),n,y
土,Tǔ,earth,n,y
士,Shì,scholar(r),n,y
夂,Zhǐ,go slowly(r),n,y
夊,Suī,bottom(r),n,y
